,id,host_is_superhost,host_listings_count,host_identity_verified,accommodates,price,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
3991,36145170,0,1,0,3,120.0,28,4.68,4.89,0.72
3992,36218733,0,1,1,2,220.0,2,5.0,4.0,0.05
3993,36226634,1,1,1,2,88.0,25,4.8,4.72,0.66
3994,36235875,0,1,0,4,80.0,13,5.0,4.85,0.34
3995,36236698,0,1,1,2,200.0,49,4.71,4.88,1.26
3996,36252246,0,1,1,2,98.0,5,4.8,4.8,0.13
3997,36253416,0,2,0,1,41.0,26,4.68,4.88,0.68
3998,36255222,1,1,1,2,55.0,25,5.0,4.84,7.58
3999,36266110,1,3,1,1,80.0,8,4.75,4.88,0.26
4000,36273513,0,2,1,2,55.0,40,4.28,4.55,1.03
4001,36275450,0,1,0,2,133.0,1,5.0,5.0,0.03
4002,36283070,1,5,1,2,400.0,23,4.7,4.83,0.73
4003,36283400,1,5,1,2,400.0,29,4.76,4.66,0.78
4004,36283456,1,5,1,3,400.0,7,5.0,4.86,0.56
4005,36283513,1,5,1,2,400.0,4,4.75,5.0,0.42
4006,36296920,0,16,1,2,42.0,29,4.83,4.55,0.79
4007,36309900,0,1,1,7,250.0,1,4.0,5.0,0.07
4008,36330155,0,2,1,4,130.0,1,4.0,5.0,0.03
4009,36337560,1,13,1,4,150.0,10,4.9,5.0,0.42
4010,36342163,0,1,1,7,350.0,5,5.0,4.4,0.13
4011,36343440,0,1,0,2,41.0,43,4.48,4.83,1.11
4012,36345382,0,1,0,2,50.0,3,4.67,4.33,0.08
4013,36351345,0,2,1,2,80.0,5,5.0,4.8,0.14
4014,36352557,0,1,1,2,90.0,9,5.0,4.89,0.23
4015,36374914,0,1,0,1,35.0,25,4.56,4.56,0.65
4016,36378585,0,1,0,2,60.0,15,4.43,4.29,0.39
4017,36379001,0,1,1,2,35.0,34,4.76,4.79,1.05
4018,36384147,0,6,1,2,50.0,1,3.0,5.0,0.03
4019,36389876,0,1,1,4,800.0,11,4.3,4.9,0.3
4020,36410701,1,1,1,2,61.0,155,4.98,4.73,3.99
4021,36414306,0,1,1,2,59.0,5,5.0,5.0,0.13
4022,36421220,0,1,1,1,46.0,50,4.66,4.68,1.3
4023,36441946,0,6,1,2,40.0,1,3.0,5.0,0.03
4024,36462511,0,2,1,2,50.0,12,5.0,4.9,0.31
4025,36465309,1,3,1,2,89.0,180,4.76,4.66,4.71
4026,36466515,0,1,0,5,67.0,6,4.33,4.33,0.16
4027,36469306,1,2,1,1,80.0,34,4.91,4.79,0.9
4028,36476892,0,2,0,4,184.0,11,4.73,5.0,0.29
4029,36496667,1,4,1,2,283.0,74,4.97,4.96,2.68
4030,36506174,0,68,1,4,214.0,20,4.4,5.0,0.52
4031,36509878,0,1,0,4,120.0,2,4.0,5.0,0.05
4032,36534202,1,1,1,2,70.0,45,4.91,4.7,1.2
4033,36557715,0,1,1,2,85.0,16,4.81,4.81,0.42
4034,36558882,0,1,0,2,60.0,3,5.0,5.0,0.08
4035,36562508,1,3,1,2,329.0,44,4.36,4.95,1.14
4036,36562570,1,3,1,2,327.0,114,4.44,4.87,2.97
4037,36572462,0,4,1,4,192.0,29,4.86,5.0,0.76
4038,36580602,1,1,1,2,43.0,15,4.87,4.13,0.4
4039,36586845,0,4,1,2,364.0,73,4.58,4.96,2.79
4040,36587590,0,4,1,2,330.0,31,4.71,4.97,0.85
4041,36589636,0,4,1,2,281.0,85,4.56,4.92,2.6
4042,36590112,0,4,1,2,265.0,24,4.38,4.88,0.75
4043,36601270,0,1,1,4,165.0,3,4.67,5.0,0.08
4044,36630917,1,4,1,2,65.0,67,4.93,4.93,1.75
4045,36647879,0,4,1,4,163.0,34,4.76,5.0,0.89
4046,36649175,0,4,1,2,128.0,29,4.86,5.0,0.76
4047,36650309,0,4,1,2,128.0,33,4.91,5.0,0.88
4048,36655900,0,3,1,2,55.0,1,3.0,4.0,0.03
4049,36661055,0,3,0,2,83.0,37,4.46,4.86,0.96
4050,36686468,1,3,1,2,55.0,63,5.0,4.92,1.72
4051,36718669,0,6,1,1,70.0,12,5.0,4.92,0.31
4052,36725320,0,1,0,8,500.0,5,5.0,4.8,0.13
4053,36725745,0,12,1,2,81.0,1,4.0,5.0,1.0
4054,36731209,0,1,1,1,20.0,1,5.0,5.0,0.03
4055,36759899,0,2,0,4,200.0,13,5.0,5.0,0.34
4056,36801179,0,2,0,2,45.0,1,3.0,4.0,0.03
4057,36830115,0,1,1,2,55.0,5,4.75,5.0,0.14
4058,36833204,0,1,0,4,125.0,15,4.8,4.67,0.39
4059,36833248,0,1,0,2,36.0,5,5.0,4.5,0.13
4060,36838805,0,1,0,6,270.0,4,5.0,5.0,0.11
4061,36844514,0,1,1,2,65.0,2,5.0,4.5,0.05
4062,36862134,0,1,1,5,500.0,3,5.0,4.67,0.08
4063,36863389,0,1,1,1,50.0,1,5.0,5.0,0.03
4064,36875838,0,1,1,4,268.0,7,5.0,5.0,3.62
4065,36901427,0,3,1,4,304.0,77,4.51,4.74,2.26
4066,36901457,0,3,1,2,228.0,6,4.17,4.67,0.23
4067,36934308,1,2,1,2,95.0,44,4.93,4.89,1.16
4068,36939105,0,2,1,2,55.0,16,4.5,4.88,0.42
4069,36959080,0,4,1,2,99.0,115,4.67,4.77,3.06
